"Estimates of the components of international migration, quarterly 1 2"
"Frequency: Quarterly"
"Table: 17-10-0040-01 (formerly CANSIM 051-0037)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

,"Components of population growth","Immigrants 3","Net emigration 4 5","Emigrants 5 6 7","Returning emigrants 5 7 8","Net temporary emigration 5 7 9","Net non-permanent residents 10 11 12","Non-permanent residents, inflows 11 13","Non-permanent residents, outflows 14"
"Geography","Reference period"
,,"Persons",,,,,,,
"Canada","Q1 2010","58,056","10,874","12,301","5,704","4,277","12,495","..",".."
,"Q2 2010","80,807","8,022","13,836","10,338","4,524","13,242","..",".."
,"Q3 2010","84,305","11,398","19,826","13,733","5,305","20,172","..",".."
,"Q4 2010","57,571","11,893","13,725","6,215","4,383","-33,982","..",".."
,"Q1 2011","49,571","12,114","13,747","6,018","4,385","9,741","..",".."
,"Q2 2011","67,696","7,457","14,168","11,160","4,449","18,793","..",".."
,"Q3 2011","71,864","16,013","22,222","14,070","7,861","24,890","..",".."
,"Q4 2011","59,604","15,348","14,988","6,027","6,387","-10,622","..",".."
,"Q1 2012","55,566","14,350","14,120","5,984","6,214","13,606","..",".."
,"Q2 2012","73,009","9,175","14,063","11,089","6,201","27,526","..",".."
,"Q3 2012","66,907","12,985","20,315","15,023","7,693","30,588","..",".."
,"Q4 2012","62,343","13,916","13,375","5,663","6,204","-25,513","..",".."
,"Q1 2013","58,255","15,063","14,286","5,622","6,399","14,639","..",".."
,"Q2 2013","75,610","9,838","14,153","10,686","6,371","29,807","..",".."
,"Q3 2013","65,409","11,396","19,902","16,003","7,497","38,620","..",".."
,"Q4 2013","59,772","15,153","14,368","5,556","6,341","-30,082","..",".."
,"Q1 2014","64,461","15,698","14,680","5,388","6,406","6,046","..",".."
,"Q2 2014","78,294","11,254","14,772","9,942","6,424","18,283","..",".."
,"Q3 2014","65,546","13,862","21,768","15,647","7,741","33,889","..",".."
,"Q4 2014","52,007","14,142","14,002","6,027","6,167","-41,248","..",".."
,"Q1 2015","51,129","15,927","14,989","5,431","6,369","-11,185","..",".."
,"Q2 2015","72,093","10,113","15,078","11,353","6,388","8,703","..",".."
,"Q3 2015","78,903","14,644","23,493","16,797","7,948","19,982","..",".."
,"Q4 2015","69,742","15,882","15,385","5,855","6,352","-26,830","..",".."
,"Q1 2016","86,246","15,462","15,111","5,951","6,302","11,939","..",".."
,"Q2 2016","88,297","8,909","13,904","11,057","6,062","30,357","..",".."
,"Q3 2016","68,231","16,648","41,778","25,130","..","53,175","..",".."
,"Q4 2016","53,611","15,753","26,680","10,927","..","-6,749","..",".."
,"Q1 2017","72,837","15,964","27,115","11,151","..","10,350","..",".."
,"Q2 2017","78,015","8,115","24,391","16,276","..","47,000","..",".."
,"Q3 2017","70,134","8,878","31,704","22,826","..","78,277","..",".."
,"Q4 2017","65,551","10,875","20,803","9,928","..","2,407","..",".."
,"Q1 2018","80,007","13,487","23,635","10,148","..","22,568","..",".."
,"Q2 2018","87,677","6,625","22,129","15,504","..","59,321","..",".."
,"Q3 2018","82,292","7,025","30,291","23,266","..","76,425","..",".."
,"Q4 2018","71,078","10,778","20,980","10,202","..","-3,397","..",".."
,"Q1 2019","65,953","11,957","21,331","9,374","..","30,543","..",".."
,"Q2 2019","94,280","5,206","19,602","14,396","..","65,262","..",".."
,"Q3 2019","103,713","9,073","30,675","21,602","..","80,029","..",".."
,"Q4 2019","77,228","9,555","18,852","9,297","..","13,947","..",".."
,"Q1 2020","69,140","10,408","20,633","10,225","..","6,109","..",".."
,"Q2 2020","34,072","2,633","7,431","4,798","..","-24,820","..",".."
,"Q3 2020","40,119","-78","17,305","17,383","..","-67,698","..",".."
,"Q4 2020","41,263","6,272","15,038","8,766","..","-9,657","..",".."
,"Q1 2021","70,492","10,498","17,184","6,686","..","13,627","..",".."
,"Q2 2021","74,440","9,034","17,100","8,066","..","12,009","..",".."
,"Q3 2021","122,916","7,898","26,453","18,555","..","80,749","224,022","143,273"
,"Q4 2021","138,198","11,731","22,620","10,889","..","-28,898","130,322","159,220"
,"Q1 2022","113,803","16,312","25,394","9,082","..","34,084","131,483","97,399"
,"Q2 2022","118,319","11,312","25,289","13,977","..","138,780","211,335","72,555"
,"Q3 2022","122,199","16,623","35,112","18,489","..","214,263","322,370","108,107"
,"Q4 2022","83,291","14,323","24,377","10,054","..","151,584","248,672","97,088"
,"Q1 2023","145,496","18,928","28,289","9,361","..","100,487","214,441","113,954"
,"Q2 2023","117,927","11,835","25,513","13,678","..","205,191","282,118","76,927"
,"Q3 2023","107,988","19,286","39,617","20,331","..","314,059","432,203","118,144"
,"Q4 2023","100,406","14,031","23,948","9,917","..","169,369","294,518","125,149"
,"Q1 2024","121,778","19,368","28,938","9,570","..","161,892","274,625","112,733"
,"Q2 2024","134,172","10,767","23,985","13,218","..","135,755","250,307","114,552"
,"Q3 2024","124,266","19,869","40,818","20,949","..","109,961","270,287","160,326"
,"Q4 2024","103,438","14,448","24,668","10,220","..","-11,002","149,705","160,707"
,"Q1 2025","104,210","19,961","29,816","9,855","..","-55,194","115,837","171,031"
,"Q2 2025","103,507","11,094","24,714","13,620","..","-58,719","140,331","199,050"
"Newfoundland and Labrador","Q1 2010","142","27","22","24","29","-17","..",".."
,"Q2 2010","200","17","30","44","31","123","..",".."
,"Q3 2010","189","69","115","82","36","260","..",".."
,"Q4 2010","184","61","68","37","30","-258","..",".."
,"Q1 2011","130","56","62","36","30","62","..",".."
,"Q2 2011","197","46","83","67","30","273","..",".."
,"Q3 2011","172","73","88","57","42","272","..",".."
,"Q4 2011","186","44","35","24","33","-27","..",".."
,"Q1 2012","157","39","31","25","33","36","..",".."
,"Q2 2012","227","37","50","45","32","390","..",".."
,"Q3 2012","165","122","153","72","41","420","..",".."
,"Q4 2012","184","91","85","27","33","-42","..",".."
,"Q1 2013","76","96","88","26","34","121","..",".."
,"Q2 2013","253","72","90","52","34","-43","..",".."
,"Q3 2013","235","56","78","61","39","847","..",".."
,"Q4 2013","269","62","49","21","34","-195","..",".."
,"Q1 2014","181","57","45","21","33","-417","..",".."
,"Q2 2014","340","51","55","38","34","181","..",".."
,"Q3 2014","197","86","101","56","41","424","..",".."
,"Q4 2014","181","64","53","22","33","-54","..",".."
,"Q1 2015","197","57","43","20","34","-218","..",".."
,"Q2 2015","272","54","61","41","34","488","..",".."
,"Q3 2015","288","108","109","42","41","279","..",".."
,"Q4 2015","362","73","54","14","33","-26","..",".."
,"Q1 2016","419","77","58","15","34","-31","..",".."
,"Q2 2016","358","77","72","27","32","278","..",".."
,"Q3 2016","262","143","260","117","..","732","..",".."
,"Q4 2016","161","64","105","41","..","-289","..",".."
,"Q1 2017","261","48","87","39","..","-145","..",".."
,"Q2 2017","343","56","125","69","..","27","..",".."
,"Q3 2017","366","23","103","80","..","579","..",".."
,"Q4 2017","213","27","59","32","..","-323","..",".."
,"Q1 2018","296","33","64","31","..","-155","..",".."
,"Q2 2018","406","19","72","53","..","-43","..",".."
,"Q3 2018","482","34","115","81","..","376","..",".."
,"Q4 2018","343","44","81","37","..","-116","..",".."
,"Q1 2019","276","57","91","34","..","75","..",".."
,"Q2 2019","548","21","70","49","..","18","..",".."
,"Q3 2019","557","22","95","73","..","660","..",".."
,"Q4 2019","476","47","82","35","..","-165","..",".."
,"Q1 2020","361","34","70","36","..","-146","..",".."
,"Q2 2020","171","7","23","16","..","-176","..",".."
,"Q3 2020","135","9","89","80","..","-631","..",".."
,"Q4 2020","231","31","70","39","..","-192","..",".."
,"Q1 2021","259","56","88","32","..","124","..",".."
,"Q2 2021","259","51","89","38","..","240","..",".."
,"Q3 2021","579","31","99","68","..","1,042","1,900","858"
,"Q4 2021","952","37","78","41","..","-81","793","874"
,"Q1 2022","624","54","92","38","..","-34","656","690"
,"Q2 2022","686","53","106","53","..","1,303","1,724","421"
,"Q3 2022","1,101","43","88","45","..","1,360","2,437","1,077"
,"Q4 2022","1,084","28","51","23","..","1,290","1,890","600"
,"Q1 2023","2,045","33","54","21","..","202","1,541","1,339"
,"Q2 2023","1,107","41","77","36","..","1,394","1,897","503"
,"Q3 2023","1,055","51","101","50","..","1,714","2,732","1,018"
,"Q4 2023","1,279","23","43","20","..","836","1,619","783"
,"Q1 2024","1,387","30","48","18","..","951","1,844","893"
,"Q2 2024","1,612","34","67","33","..","1,200","2,213","1,013"
,"Q3 2024","1,621","53","105","52","..","921","2,224","1,303"
,"Q4 2024","1,135","23","43","20","..","140","1,394","1,254"
,"Q1 2025","1,563","30","48","18","..","-221","1,174","1,395"
,"Q2 2025","1,154","35","70","35","..","-266","1,181","1,447"
"Prince Edward Island","Q1 2010","388","9","7","5","7","-33","..",".."
,"Q2 2010","572","4","4","9","9","119","..",".."
,"Q3 2010","1,166","33","42","19","10","156","..",".."
,"Q4 2010","467","36","36","8","8","-64","..",".."
,"Q1 2011","434","28","29","8","7","-24","..",".."
,"Q2 2011","543","25","31","15","9","121","..",".."
,"Q3 2011","529","16","25","20","11","54","..",".."
,"Q4 2011","233","9","9","9","9","33","..",".."
,"Q1 2012","284","12","10","8","10","-36","..",".."
,"Q2 2012","330","5","12","16","9","155","..",".."
,"Q3 2012","307","30","65","46","11","112","..",".."
,"Q4 2012","181","23","31","17","9","-14","..",".."
,"Q1 2013","121","24","31","17","10","-98","..",".."
,"Q2 2013","254","9","31","32","10","136","..",".."
,"Q3 2013","255","1","29","39","11","106","..",".."
,"Q4 2013","370","13","16","13","10","-122","..",".."
,"Q1 2014","364","17","20","13","10","1","..",".."
,"Q2 2014","411","11","25","24","10","203","..",".."
,"Q3 2014","511","54","62","19","11","138","..",".."
,"Q4 2014","344","25","24","8","9","-186","..",".."
,"Q1 2015","196","27","23","6","10","21","..",".."
,"Q2 2015","290","30","34","14","10","613","..",".."
,"Q3 2015","365","34","37","14","11","139","..",".."
,"Q4 2015","339","26","22","5","9","73","..",".."
,"Q1 2016","560","30","25","5","10","-8","..",".."
,"Q2 2016","751","23","24","10","9","420","..",".."
,"Q3 2016","694","63","126","63","..","389","..",".."
,"Q4 2016","308","23","46","23","..","-150","..",".."
,"Q1 2017","607","19","40","21","..","-13","..",".."
,"Q2 2017","652","35","77","42","..","456","..",".."
,"Q3 2017","628","-12","36","48","..","429","..",".."
,"Q4 2017","456","2","23","21","..","-174","..",".."
,"Q1 2018","480","3","21","18","..","139","..",".."
,"Q2 2018","525","-9","25","34","..","430","..",".."
,"Q3 2018","685","-22","74","96","..","934","..",".."
,"Q4 2018","437","17","61","44","..","-328","..",".."
,"Q1 2019","544","20","59","39","..","37","..",".."
,"Q2 2019","601","-3","59","62","..","509","..",".."
,"Q3 2019","855","-4","34","38","..","677","..",".."
,"Q4 2019","447","2","18","16","..","-46","..",".."
,"Q1 2020","494","0","18","18","..","-26","..",".."
,"Q2 2020","283","-1","6","7","..","139","..",".."
,"Q3 2020","256","2","35","33","..","-73","..",".."
,"Q4 2020","259","8","25","17","..","61","..",".."
,"Q1 2021","366","16","31","15","..","383","..",".."
,"Q2 2021","328","18","34","16","..","608","..",".."
,"Q3 2021","1,068","7","48","41","..","55","1,073","1,018"
,"Q4 2021","851","14","37","23","..","-550","556","1,106"
,"Q1 2022","652","28","47","19","..","83","538","455"
,"Q2 2022","868","22","52","30","..","560","1,030","470"
,"Q3 2022","835","30","72","42","..","1,177","1,749","572"
,"Q4 2022","313","23","45","22","..","432","946","514"
,"Q1 2023","1,274","28","48","20","..","-104","843","947"
,"Q2 2023","694","30","62","32","..","927","1,259","332"
,"Q3 2023","826","41","91","50","..","1,524","2,165","641"
,"Q4 2023","824","23","46","23","..","-83","857","940"
,"Q1 2024","1,328","29","48","19","..","-284","814","1,098"
,"Q2 2024","1,169","31","65","34","..","19","971","952"
,"Q3 2024","980","42","94","52","..","441","1,291","850"
,"Q4 2024","502","24","47","23","..","-348","488","836"
,"Q1 2025","817","28","48","20","..","-666","373","1,039"
,"Q2 2025","544","33","68","35","..","7","772","765"
"Nova Scotia","Q1 2010","458","118","168","103","53","320","..",".."
,"Q2 2010","695","20","151","188","57","313","..",".."
,"Q3 2010","766","223","387","230","66","1,329","..",".."
,"Q4 2010","478","190","240","104","54","-244","..",".."
,"Q1 2011","470","170","216","100","54","194","..",".."
,"Q2 2011","572","144","275","187","56","30","..",".."
,"Q3 2011","597","371","535","237","73","735","..",".."
,"Q4 2011","497","183","225","102","60","214","..",".."
,"Q1 2012","551","187","228","100","59","320","..",".."
,"Q2 2012","707","149","277","187","59","108","..",".."
,"Q3 2012","529","209","375","239","73","555","..",".."
,"Q4 2012","549","210","242","90","58","-60","..",".."
,"Q1 2013","411","174","205","90","59","75","..",".."
,"Q2 2013","752","122","232","170","60","-266","..",".."
,"Q3 2013","693","174","380","276","70","556","..",".."
,"Q4 2013","671","163","199","96","60","-301","..",".."
,"Q1 2014","632","160","193","94","61","84","..",".."
,"Q2 2014","783","146","257","171","60","-224","..",".."
,"Q3 2014","691","255","393","210","72","544","..",".."
,"Q4 2014","564","158","182","81","57","-227","..",".."
,"Q1 2015","601","157","171","73","59","-15","..",".."
,"Q2 2015","831","151","243","152","60","1,998","..",".."
,"Q3 2015","1,067","232","432","274","74","1,041","..",".."
,"Q4 2015","921","166","201","95","60","-428","..",".."
,"Q1 2016","1,872","170","208","97","59","433","..",".."
,"Q2 2016","1,622","108","233","181","56","540","..",".."
,"Q3 2016","1,127","279","749","470","..","1,711","..",".."
,"Q4 2016","890","153","327","174","..","-786","..",".."
,"Q1 2017","1,138","95","258","163","..","41","..",".."
,"Q2 2017","1,211","51","334","283","..","724","..",".."
,"Q3 2017","1,155","339","739","400","..","1,664","..",".."
,"Q4 2017","1,012","195","358","163","..","-729","..",".."
,"Q1 2018","1,348","280","460","180","..","-2","..",".."
,"Q2 2018","1,632","216","481","265","..","1,382","..",".."
,"Q3 2018","1,703","104","411","307","..","2,465","..",".."
,"Q4 2018","1,300","131","265","134","..","-657","..",".."
,"Q1 2019","1,270","159","287","128","..","586","..",".."
,"Q2 2019","2,125","57","243","186","..","1,574","..",".."
,"Q3 2019","2,483","10","424","414","..","2,007","..",".."
,"Q4 2019","1,717","109","290","181","..","-834","..",".."
,"Q1 2020","1,188","43","218","175","..","212","..",".."
,"Q2 2020","861","8","98","90","..","207","..",".."
,"Q3 2020","741","-43","248","291","..","-2,396","..",".."
,"Q4 2020","731","20","152","132","..","-394","..",".."
,"Q1 2021","995","84","179","95","..","816","..",".."
,"Q2 2021","1,085","80","204","124","..","967","..",".."
,"Q3 2021","3,090","49","378","329","..","1,535","5,340","3,805"
,"Q4 2021","3,998","87","257","170","..","-2,164","2,371","4,535"
,"Q1 2022","3,244","157","289","132","..","-215","2,160","2,375"
,"Q2 2022","3,506","116","347","231","..","2,741","4,710","1,969"
,"Q3 2022","3,937","362","567","205","..","4,509","7,558","3,049"
,"Q4 2022","1,963","216","326","110","..","2,360","5,124","2,764"
,"Q1 2023","3,936","242","346","104","..","1,844","4,321","2,477"
,"Q2 2023","2,469","290","451","161","..","5,325","6,649","1,324"
,"Q3 2023","2,615","435","684","249","..","6,406","9,504","3,098"
,"Q4 2023","2,787","224","338","114","..","1,473","5,091","3,618"
,"Q1 2024","4,022","248","353","105","..","1,688","4,774","3,086"
,"Q2 2024","4,341","305","474","169","..","1,932","4,978","3,046"
,"Q3 2024","3,619","448","705","257","..","2,307","6,227","3,920"
,"Q4 2024","2,305","229","347","118","..","-703","2,944","3,647"
,"Q1 2025","2,852","255","364","109","..","-522","2,749","3,271"
,"Q2 2025","2,208","316","489","173","..","-241","3,738","3,979"
"New Brunswick","Q1 2010","425","63","96","76","43","13","..",".."
,"Q2 2010","555","0","93","137","44","74","..",".."
,"Q3 2010","717","49","123","127","53","305","..",".."
,"Q4 2010","428","61","76","58","43","-79","..",".."
,"Q1 2011","377","54","65","55","44","-22","..",".."
,"Q2 2011","464","28","88","104","44","119","..",".."
,"Q3 2011","511","100","172","131","59","133","..",".."
,"Q4 2011","615","72","79","56","49","-71","..",".."
,"Q1 2012","554","70","79","56","47","7","..",".."
,"Q2 2012","574","34","91","104","47","200","..",".."
,"Q3 2012","592","52","119","126","59","164","..",".."
,"Q4 2012","492","62","62","48","48","-122","..",".."
,"Q1 2013","353","62","61","47","48","-89","..",".."
,"Q2 2013","582","29","69","89","49","68","..",".."
,"Q3 2013","597","82","152","127","57","287","..",".."
,"Q4 2013","488","72","68","44","48","-35","..",".."
,"Q1 2014","553","76","70","43","49","-178","..",".."
,"Q2 2014","662","86","116","79","49","247","..",".."
,"Q3 2014","970","159","192","92","59","381","..",".."
,"Q4 2014","652","111","99","35","47","-386","..",".."
,"Q1 2015","625","103","86","31","48","-438","..",".."
,"Q2 2015","550","111","128","66","49","1,000","..",".."
,"Q3 2015","768","126","186","121","61","138","..",".."
,"Q4 2015","635","93","86","42","49","17","..",".."
,"Q1 2016","2,036","98","93","43","48","-339","..",".."
,"Q2 2016","1,061","76","110","80","46","577","..",".."
,"Q3 2016","971","99","292","193","..","468","..",".."
,"Q4 2016","649","58","131","73","..","-345","..",".."
,"Q1 2017","733","41","111","70","..","-238","..",".."
,"Q2 2017","1,106","45","169","124","..","582","..",".."
,"Q3 2017","1,096","116","375","259","..","576","..",".."
,"Q4 2017","725","80","183","103","..","-397","..",".."
,"Q1 2018","1,162","109","218","109","..","-346","..",".."
,"Q2 2018","1,133","74","246","172","..","874","..",".."
,"Q3 2018","1,333","36","216","180","..","1,095","..",".."
,"Q4 2018","981","71","153","82","..","-340","..",".."
,"Q1 2019","1,055","77","152","75","..","26","..",".."
,"Q2 2019","1,707","24","133","109","..","775","..",".."
,"Q3 2019","1,948","-15","254","269","..","1,231","..",".."
,"Q4 2019","1,294","43","157","114","..","-529","..",".."
,"Q1 2020","1,077","8","119","111","..","-52","..",".."
,"Q2 2020","591","0","59","59","..","-11","..",".."
,"Q3 2020","694","-43","153","196","..","-604","..",".."
,"Q4 2020","526","9","100","91","..","448","..",".."
,"Q1 2021","700","48","113","65","..","579","..",".."
,"Q2 2021","768","63","155","92","..","1,044","..",".."
,"Q3 2021","1,727","38","235","197","..","2,053","3,533","1,480"
,"Q4 2021","2,120","49","153","104","..","-129","1,921","2,050"
,"Q1 2022","1,948","97","178","81","..","221","1,562","1,341"
,"Q2 2022","2,615","100","248","148","..","2,315","3,399","1,084"
,"Q3 2022","3,319","155","275","120","..","3,919","5,520","1,601"
,"Q4 2022","2,345","109","172","63","..","970","2,694","1,724"
,"Q1 2023","2,942","128","190","62","..","1,363","3,268","1,905"
,"Q2 2023","2,415","168","268","100","..","3,302","4,155","853"
,"Q3 2023","2,883","159","284","125","..","5,825","8,074","2,249"
,"Q4 2023","3,210","110","172","62","..","1,654","3,781","2,127"
,"Q1 2024","3,986","121","177","56","..","656","3,802","3,146"
,"Q2 2024","4,896","158","252","94","..","1,609","4,038","2,429"
,"Q3 2024","4,138","165","292","127","..","3,019","5,511","2,492"
,"Q4 2024","2,472","112","178","66","..","235","2,321","2,086"
,"Q1 2025","3,214","126","183","57","..","-1,378","2,111","3,489"
,"Q2 2025","2,708","162","259","97","..","2","3,028","3,026"
"Quebec","Q1 2010","10,851","1,299","1,666","874","507","2,277","..",".."
,"Q2 2010","14,058","1,238","2,284","1,583","537","5,764","..",".."
,"Q3 2010","16,512","1,835","3,232","2,027","630","1,055","..",".."
,"Q4 2010","12,577","1,649","2,045","917","521","-5,793","..",".."
,"Q1 2011","10,124","1,763","2,131","888","520","2,082","..",".."
,"Q2 2011","14,198","1,287","2,407","1,647","527","6,122","..",".."
,"Q3 2011","15,132","2,492","3,368","2,198","1,322","-921","..",".."
,"Q4 2011","12,270","2,214","2,081","941","1,074","-3,383","..",".."
,"Q1 2012","10,927","1,994","1,884","935","1,045","2,688","..",".."
,"Q2 2012","15,886","1,590","2,279","1,732","1,043","6,518","..",".."
,"Q3 2012","15,274","2,067","3,075","2,302","1,294","1,548","..",".."
,"Q4 2012","12,937","2,072","1,895","867","1,044","-6,686","..",".."
,"Q1 2013","11,695","2,080","1,865","862","1,077","757","..",".."
