"Estimates of the components of international migration, quarterly 1 2"
,"Q3 2011","9,882","3,372","3,939","2,111","1,544","9,910","..",".."
,"Q4 2011","7,620","3,818","3,467","904","1,255","-1,021","..",".."
,"Q1 2012","8,656","3,382","3,060","898","1,220","1,830","..",".."
,"Q2 2012","10,079","2,347","2,792","1,663","1,218","3,312","..",".."
,"Q3 2012","9,031","2,956","3,673","2,228","1,511","9,390","..",".."
,"Q4 2012","8,469","3,344","2,966","840","1,218","-3,845","..",".."
,"Q1 2013","8,107","3,848","3,425","833","1,256","2,592","..",".."
,"Q2 2013","10,128","2,475","2,809","1,585","1,251","2,597","..",".."
,"Q3 2013","8,936","2,459","3,539","2,553","1,473","11,660","..",".."
,"Q4 2013","9,042","3,933","3,574","886","1,245","-4,977","..",".."
,"Q1 2014","9,564","3,444","3,045","859","1,258","2,991","..",".."
,"Q2 2014","9,936","2,495","2,820","1,586","1,261","1,929","..",".."
,"Q3 2014","7,988","2,628","3,736","2,628","1,520","10,950","..",".."
,"Q4 2014","7,682","3,410","3,213","1,013","1,210","-6,912","..",".."
,"Q1 2015","6,784","3,433","3,096","913","1,250","-1,973","..",".."
,"Q2 2015","9,219","2,072","2,726","1,908","1,254","-20,248","..",".."
,"Q3 2015","10,897","2,829","4,126","2,857","1,560","6,242","..",".."
,"Q4 2015","8,831","3,559","3,308","996","1,247","-4,432","..",".."
,"Q1 2016","11,766","3,248","3,025","1,013","1,236","2,477","..",".."
,"Q2 2016","11,729","2,023","2,713","1,881","1,191","5,514","..",".."
,"Q3 2016","7,820","3,380","7,295","3,915","..","11,345","..",".."
,"Q4 2016","6,774","4,159","6,075","1,916","..","-1,461","..",".."
,"Q1 2017","10,660","4,124","6,060","1,936","..","2,599","..",".."
,"Q2 2017","10,158","2,300","4,969","2,669","..","7,675","..",".."
,"Q3 2017","8,698","2,271","5,840","3,569","..","15,002","..",".."
,"Q4 2017","8,949","3,367","5,132","1,765","..","1,564","..",".."
,"Q1 2018","12,187","3,324","5,006","1,682","..","3,752","..",".."
,"Q2 2018","12,066","1,956","4,441","2,485","..","9,441","..",".."
,"Q3 2018","10,859","1,993","5,599","3,606","..","16,608","..",".."
,"Q4 2018","9,742","2,893","4,590","1,697","..","-1,774","..",".."
,"Q1 2019","8,846","2,758","4,259","1,501","..","8,072","..",".."
,"Q2 2019","13,686","1,406","3,640","2,234","..","8,986","..",".."
,"Q3 2019","15,899","1,658","5,541","3,883","..","16,450","..",".."
,"Q4 2019","11,797","2,527","4,304","1,777","..","-4,528","..",".."
,"Q1 2020","11,035","2,521","4,426","1,905","..","-1,341","..",".."
,"Q2 2020","6,064","435","1,281","846","..","-9,978","..",".."
,"Q3 2020","4,888","68","2,782","2,714","..","-12,917","..",".."
,"Q4 2020","6,495","1,471","2,884","1,413","..","-2,906","..",".."
,"Q1 2021","10,278","2,249","3,326","1,077","..","4,267","..",".."
,"Q2 2021","12,722","1,725","2,967","1,242","..","2,711","..",".."
,"Q3 2021","23,138","1,381","4,231","2,850","..","12,537","44,198","31,661"
,"Q4 2021","23,334","2,556","4,366","1,810","..","-6,010","24,720","30,730"
,"Q1 2022","20,737","3,483","5,054","1,571","..","5,817","27,181","21,364"
,"Q2 2022","16,013","2,313","4,529","2,216","..","22,992","37,261","14,269"
,"Q3 2022","16,087","3,160","6,148","2,988","..","36,376","59,774","23,398"
,"Q4 2022","8,392","3,330","5,096","1,766","..","23,806","42,444","18,638"
,"Q1 2023","24,494","4,525","6,240","1,715","..","13,209","37,236","24,027"
,"Q2 2023","17,307","2,654","4,978","2,324","..","31,359","48,867","17,508"
,"Q3 2023","13,754","3,872","7,318","3,446","..","50,237","75,316","25,079"
,"Q4 2023","15,273","3,465","5,307","1,842","..","19,730","48,244","28,514"
,"Q1 2024","17,786","4,857","6,745","1,888","..","26,019","47,909","21,890"
,"Q2 2024","16,793","2,603","4,917","2,314","..","16,919","39,671","22,752"
,"Q3 2024","15,807","3,988","7,539","3,551","..","15,174","47,970","32,796"
,"Q4 2024","12,740","3,568","5,467","1,899","..","-5,085","24,739","29,824"
,"Q1 2025","14,916","5,007","6,951","1,944","..","-8,002","20,981","28,983"
,"Q2 2025","12,740","2,683","5,066","2,383","..","-14,699","21,717","36,416"
"Yukon","Q1 2010","133","5","4","3","4","46","..",".."
,"Q2 2010","100","1","4","7","4","78","..",".."
,"Q3 2010","76","6","8","8","6","18","..",".."
,"Q4 2010","41","7","6","3","4","-74","..",".."
,"Q1 2011","35","4","4","4","4","-8","..",".."
,"Q2 2011","62","1","4","7","4","66","..",".."
,"Q3 2011","61","29","25","5","9","-61","..",".."
,"Q4 2011","79","17","14","3","6","-81","..",".."
,"Q1 2012","87","15","11","3","7","41","..",".."
,"Q2 2012","104","16","13","4","7","19","..",".."
,"Q3 2012","43","20","14","2","8","29","..",".."
,"Q4 2012","45","17","11","0","6","-106","..",".."
,"Q1 2013","39","18","11","0","7","-12","..",".."
,"Q2 2013","85","17","11","1","7","73","..",".."
,"Q3 2013","77","6","6","8","8","29","..",".."
,"Q4 2013","115","9","5","3","7","-123","..",".."
,"Q1 2014","75","11","7","3","7","-1","..",".."
,"Q2 2014","93","5","4","6","7","47","..",".."
,"Q3 2014","55","10","2","0","8","16","..",".."
,"Q4 2014","81","6","0","0","6","-89","..",".."
,"Q1 2015","55","8","1","0","7","-17","..",".."
,"Q2 2015","73","7","0","0","7","71","..",".."
,"Q3 2015","98","27","20","2","9","11","..",".."
,"Q4 2015","41","16","10","0","6","-37","..",".."
,"Q1 2016","65","16","9","0","7","27","..",".."
,"Q2 2016","50","17","12","1","6","125","..",".."
,"Q3 2016","45","45","54","9","..","60","..",".."
,"Q4 2016","51","24","26","2","..","-33","..",".."
,"Q1 2017","73","29","31","2","..","-20","..",".."
,"Q2 2017","64","18","21","3","..","133","..",".."
,"Q3 2017","49","14","14","0","..","75","..",".."
,"Q4 2017","39","10","10","0","..","64","..",".."
,"Q1 2018","94","10","10","0","..","-24","..",".."
,"Q2 2018","81","12","12","0","..","143","..",".."
,"Q3 2018","66","18","26","8","..","43","..",".."
,"Q4 2018","66","7","10","3","..","-45","..",".."
,"Q1 2019","63","13","17","4","..","-55","..",".."
,"Q2 2019","114","6","10","4","..","75","..",".."
,"Q3 2019","130","8","17","9","..","39","..",".."
,"Q4 2019","93","7","10","3","..","15","..",".."
,"Q1 2020","89","6","10","4","..","-103","..",".."
,"Q2 2020","24","1","2","1","..","-70","..",".."
,"Q3 2020","37","18","18","0","..","81","..",".."
,"Q4 2020","26","21","21","0","..","-14","..",".."
,"Q1 2021","84","34","36","2","..","75","..",".."
,"Q2 2021","153","18","18","0","..","26","..",".."
,"Q3 2021","168","5","21","16","..","6","157","151"
,"Q4 2021","191","11","23","12","..","-130","98","228"
,"Q1 2022","169","20","32","12","..","-90","79","169"
,"Q2 2022","136","8","20","12","..","139","225","86"
,"Q3 2022","112","-2","11","13","..","159","236","77"
,"Q4 2022","37","3","10","7","..","174","227","53"
,"Q1 2023","343","7","12","5","..","-91","206","297"
,"Q2 2023","185","1","10","9","..","288","388","100"
,"Q3 2023","167","-5","8","13","..","240","356","116"
,"Q4 2023","195","2","6","4","..","101","271","170"
,"Q1 2024","297","7","12","5","..","57","296","239"
,"Q2 2024","236","-2","6","8","..","123","319","196"
,"Q3 2024","276","-5","8","13","..","78","290","212"
,"Q4 2024","130","2","6","4","..","101","196","95"
,"Q1 2025","242","7","13","6","..","-220","85","305"
,"Q2 2025","178","-1","6","7","..","17","234","217"
"Northwest Territories including Nunavut 15","Q1 2010","..","..","..","..","..","..","..",".."
,"Q2 2010","..","..","..","..","..","..","..",".."
,"Q3 2010","..","..","..","..","..","..","..",".."
,"Q4 2010","..","..","..","..","..","..","..",".."
,"Q1 2011","..","..","..","..","..","..","..",".."
,"Q2 2011","..","..","..","..","..","..","..",".."
,"Q3 2011","..","..","..","..","..","..","..",".."
,"Q4 2011","..","..","..","..","..","..","..",".."
,"Q1 2012","..","..","..","..","..","..","..",".."
,"Q2 2012","..","..","..","..","..","..","..",".."
,"Q3 2012","..","..","..","..","..","..","..",".."
,"Q4 2012","..","..","..","..","..","..","..",".."
,"Q1 2013","..","..","..","..","..","..","..",".."
,"Q2 2013","..","..","..","..","..","..","..",".."
,"Q3 2013","..","..","..","..","..","..","..",".."
,"Q4 2013","..","..","..","..","..","..","..",".."
,"Q1 2014","..","..","..","..","..","..","..",".."
,"Q2 2014","..","..","..","..","..","..","..",".."
,"Q3 2014","..","..","..","..","..","..","..",".."
,"Q4 2014","..","..","..","..","..","..","..",".."
,"Q1 2015","..","..","..","..","..","..","..",".."
,"Q2 2015","..","..","..","..","..","..","..",".."
,"Q3 2015","..","..","..","..","..","..","..",".."
,"Q4 2015","..","..","..","..","..","..","..",".."
,"Q1 2016","..","..","..","..","..","..","..",".."
,"Q2 2016","..","..","..","..","..","..","..",".."
,"Q3 2016","..","..","..","..","..","..","..",".."
,"Q4 2016","..","..","..","..","..","..","..",".."
,"Q1 2017","..","..","..","..","..","..","..",".."
,"Q2 2017","..","..","..","..","..","..","..",".."
,"Q3 2017","..","..","..","..","..","..","..",".."
,"Q4 2017","..","..","..","..","..","..","..",".."
,"Q1 2018","..","..","..","..","..","..","..",".."
,"Q2 2018","..","..","..","..","..","..","..",".."
,"Q3 2018","..","..","..","..","..","..","..",".."
,"Q4 2018","..","..","..","..","..","..","..",".."
,"Q1 2019","..","..","..","..","..","..","..",".."
,"Q2 2019","..","..","..","..","..","..","..",".."
,"Q3 2019","..","..","..","..","..","..","..",".."
,"Q4 2019","..","..","..","..","..","..","..",".."
,"Q1 2020","..","..","..","..","..","..","..",".."
,"Q2 2020","..","..","..","..","..","..","..",".."
,"Q3 2020","..","..","..","..","..","..","..",".."
,"Q4 2020","..","..","..","..","..","..","..",".."
,"Q1 2021","..","..","..","..","..","..","..",".."
,"Q2 2021","..","..","..","..","..","..","..",".."
,"Q3 2021","..","..","..","..","..","..","..",".."
,"Q4 2021","..","..","..","..","..","..","..",".."
,"Q1 2022","..","..","..","..","..","..","..",".."
,"Q2 2022","..","..","..","..","..","..","..",".."
,"Q3 2022","..","..","..","..","..","..","..",".."
,"Q4 2022","..","..","..","..","..","..","..",".."
,"Q1 2023","..","..","..","..","..","..","..",".."
,"Q2 2023","..","..","..","..","..","..","..",".."
,"Q3 2023","..","..","..","..","..","..","..",".."
,"Q4 2023","..","..","..","..","..","..","..",".."
,"Q1 2024","..","..","..","..","..","..","..",".."
,"Q2 2024","..","..","..","..","..","..","..",".."
,"Q3 2024","..","..","..","..","..","..","..",".."
,"Q4 2024","..","..","..","..","..","..","..",".."
,"Q1 2025","..","..","..","..","..","..","..",".."
,"Q2 2025","..","..","..","..","..","..","..",".."
"Northwest Territories 16","Q1 2010","36","6","0","0","6","1","..",".."
,"Q2 2010","41","6","0","0","6","-6","..",".."
,"Q3 2010","32","21","15","0","6","22","..",".."
,"Q4 2010","28","15","9","0","6","-19","..",".."
,"Q1 2011","12","15","9","0","6","14","..",".."
,"Q2 2011","18","15","9","0","6","-37","..",".."
,"Q3 2011","19","16","7","0","9","8","..",".."
,"Q4 2011","36","16","8","0","8","4","..",".."
,"Q1 2012","41","14","7","0","7","7","..",".."
,"Q2 2012","45","11","4","0","7","-3","..",".."
,"Q3 2012","41","17","13","5","9","0","..",".."
,"Q4 2012","38","10","5","3","8","1","..",".."
,"Q1 2013","23","10","6","3","7","31","..",".."
,"Q2 2013","50","9","6","4","7","33","..",".."
,"Q3 2013","24","7","3","5","9","18","..",".."
,"Q4 2013","53","10","3","1","8","-11","..",".."
,"Q1 2014","38","9","3","1","7","-2","..",".."
,"Q2 2014","48","8","3","3","8","-24","..",".."
,"Q3 2014","42","12","2","0","10","-9","..",".."
,"Q4 2014","39","8","0","0","8","-25","..",".."
,"Q1 2015","29","8","1","0","7","-2","..",".."
,"Q2 2015","69","8","0","0","8","32","..",".."
,"Q3 2015","68","13","3","0","10","2","..",".."
,"Q4 2015","45","11","3","0","8","-5","..",".."
,"Q1 2016","50","9","2","0","7","-20","..",".."
,"Q2 2016","57","11","4","0","7","22","..",".."
,"Q3 2016","35","9","20","11","..","40","..",".."
,"Q4 2016","41","11","17","6","..","13","..",".."
,"Q1 2017","83","5","10","5","..","-5","..",".."
,"Q2 2017","66","4","10","6","..","31","..",".."
,"Q3 2017","39","7","21","14","..","26","..",".."
,"Q4 2017","50","2","8","6","..","-24","..",".."
,"Q1 2018","103","3","10","7","..","-31","..",".."
,"Q2 2018","63","0","8","8","..","-58","..",".."
,"Q3 2018","56","-5","2","7","..","-16","..",".."
,"Q4 2018","57","-3","0","3","..","0","..",".."
,"Q1 2019","55","-2","2","4","..","11","..",".."
,"Q2 2019","59","-4","0","4","..","-4","..",".."
,"Q3 2019","47","2","14","12","..","16","..",".."
,"Q4 2019","36","2","8","6","..","18","..",".."
,"Q1 2020","48","2","8","6","..","9","..",".."
,"Q2 2020","30","0","2","2","..","-51","..",".."
,"Q3 2020","21","-9","6","15","..","-30","..",".."
,"Q4 2020","25","-3","4","7","..","13","..",".."
,"Q1 2021","33","-2","2","4","..","23","..",".."
,"Q2 2021","65","-2","4","6","..","2","..",".."
,"Q3 2021","91","10","13","3","..","-66","26","92"
,"Q4 2021","108","6","8","2","..","-26","33","59"
,"Q1 2022","78","7","8","1","..","-7","40","47"
,"Q2 2022","69","7","10","3","..","25","56","31"
,"Q3 2022","62","19","23","4","..","21","55","34"
,"Q4 2022","24","17","19","2","..","70","75","5"
,"Q1 2023","124","14","15","1","..","-7","57","64"
,"Q2 2023","72","11","14","3","..","85","99","14"
,"Q3 2023","69","21","25","4","..","85","108","23"
,"Q4 2023","64","22","25","3","..","109","128","19"
,"Q1 2024","116","15","19","4","..","101","138","37"
,"Q2 2024","117","11","14","3","..","49","102","53"
,"Q3 2024","106","22","26","4","..","73","106","33"
,"Q4 2024","82","23","27","4","..","84","100","16"
,"Q1 2025","122","16","19","3","..","17","87","70"
,"Q2 2025","146","11","14","3","..","-50","74","124"
"Nunavut 16","Q1 2010","5","5","1","0","4","1","..",".."
,"Q2 2010","7","6","3","1","4","4","..",".."
,"Q3 2010","6","9","3","0","6","13","..",".."
,"Q4 2010","1","6","2","0","4","-1","..",".."
,"Q1 2011","5","8","4","0","4","-1","..",".."
,"Q2 2011","5","7","3","0","4","2","..",".."
,"Q3 2011","6","10","2","0","8","1","..",".."
,"Q4 2011","8","6","0","0","6","1","..",".."
,"Q1 2012","10","8","1","0","7","-7","..",".."
,"Q2 2012","2","6","0","0","6","5","..",".."
,"Q3 2012","6","8","0","0","8","0","..",".."
,"Q4 2012","2","6","0","0","6","3","..",".."
,"Q1 2013","2","7","0","0","7","8","..",".."
,"Q2 2013","2","6","0","0","6","4","..",".."
,"Q3 2013","2","11","3","0","8","35","..",".."
,"Q4 2013","5","7","1","0","6","-43","..",".."
,"Q1 2014","9","8","1","0","7","1","..",".."
,"Q2 2014","8","7","1","0","6","0","..",".."
,"Q3 2014","4","8","2","2","8","34","..",".."
,"Q4 2014","2","6","0","0","6","-38","..",".."
,"Q1 2015","12","8","1","0","7","-7","..",".."
,"Q2 2015","10","7","1","1","7","-2","..",".."
,"Q3 2015","7","9","1","0","8","56","..",".."
,"Q4 2015","8","6","0","0","6","-7","..",".."
,"Q1 2016","13","8","1","0","7","-54","..",".."
,"Q2 2016","11","6","0","0","6","27","..",".."
,"Q3 2016","10","-13","4","17","..","-13","..",".."
,"Q4 2016","2","-4","2","6","..","-21","..",".."
,"Q1 2017","10","-4","2","6","..","4","..",".."
,"Q2 2017","14","-8","0","8","..","9","..",".."
,"Q3 2017","1","0","0","0","..","35","..",".."
,"Q4 2017","15","0","0","0","..","-18","..",".."
,"Q1 2018","9","0","0","0","..","-20","..",".."
,"Q2 2018","6","0","0","0","..","-1","..",".."
,"Q3 2018","4","0","0","0","..","26","..",".."
,"Q4 2018","9","0","0","0","..","-9","..",".."
,"Q1 2019","6","0","0","0","..","2","..",".."
,"Q2 2019","6","0","0","0","..","3","..",".."
,"Q3 2019","9","0","0","0","..","22","..",".."
,"Q4 2019","19","0","0","0","..","8","..",".."
,"Q1 2020","11","0","2","2","..","-3","..",".."
,"Q2 2020","0","0","0","0","..","-15","..",".."
,"Q3 2020","0","0","2","2","..","2","..",".."
,"Q4 2020","9","0","0","0","..","-3","..",".."
,"Q1 2021","4","0","2","2","..","2","..",".."
,"Q2 2021","8","0","0","0","..","6","..",".."
,"Q3 2021","16","6","9","3","..","-6","19","25"
,"Q4 2021","11","3","3","0","..","-3","8","11"
,"Q1 2022","11","6","7","1","..","-11","4","15"
,"Q2 2022","15","3","4","1","..","-11","5","16"
,"Q3 2022","7","4","7","3","..","22","29","7"
,"Q4 2022","10","1","3","2","..","-8","6","14"
,"Q1 2023","11","4","5","1","..","16","23","7"
,"Q2 2023","17","3","4","1","..","8","17","9"
,"Q3 2023","16","0","0","0","..","67","79","12"
,"Q4 2023","13","0","0","0","..","-22","39","61"
,"Q1 2024","9","0","0","0","..","38","45","7"
,"Q2 2024","19","0","0","0","..","16","26","10"
,"Q3 2024","17","0","0","0","..","65","69","4"
,"Q4 2024","22","0","0","0","..","-17","23","40"
,"Q1 2025","21","0","0","0","..","26","31","5"
,"Q2 2025","13","0","0","0","..","13","29","16"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Estimates for the quarter: Q1 = January to March; Q2 = April to June; Q3 = July to September; Q4 = October to December."
2,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Table 17100059), international migration (Table 17100040) and interprovincial migration (Tables 17100020 and 17100045)."
3,"The number of immigrants is final up to December 2024, updated from January to March 2025 and preliminary from April 2025."
4,"Net emigration is obtained as follows: Emigrants - Returning emigrants. For estimates from 1991 to June 2016, net emigration is obtained as follows: Emigrants + Net temporary emigration - Returning emigrants."
5,"The estimated numbers of emigrants and returning emigrants have been revised going back to July 2016. Before this date, short-term emigrants and short-term returning emigrants were included in the “net temporary emigration” component. After this date, they are included in the emigrant and returning emigrant components, using a slightly different methodology. Due to this change, the net temporary emigration component is no longer calculated from July 2016 onwards."
6,"The number of emigrants is final up to June 2023, updated from July 2023 to March 2025 and preliminary from April 2025."
7,"Please note that due to the methodology used for the estimates of emigrants and returning emigrants, the estimates for the most recent periods are expected to be identical or very similar."
8,"The number of returning emigrants is final up to June 2023, updated from July 2023 to March 2025 and preliminary from April 2025."
9,"The number of net temporary emigrants is final up to June 2016."
10,"The net non-permanent residents is final up to June 2023, updated from July 2023 to March 2025 and preliminary from April 2025."
11,"These estimates of the net non-permanent residents (NPRs) are derived from estimates of the number of NPRs. The NPR estimates differ from the number of asylum claimants and temporary residents provided by Immigration, Refugees and Citizenship Canada (IRCC). Care should be taken to consider the differences in methods and reference dates when comparing data from IRCC with Statistics Canada demographic estimates. The two data sources are not fully comparable."
12,"A non-permanent resident refers to a person from another country with a usual place of residence in Canada and who has a work or study permit or who has claimed refugee status (asylum claimant, protected person or member of related groups). Family members living with work or study permit holders are also included unless these family members are already Canadian citizens, landed immigrants (permanent residents), or non-permanent residents themselves."
13,"The number of people entering Canada to work, study or claim asylum status along with their family members who are not Canadian citizens or landed immigrants (permanent residents)."
14,"The number of work and study permit holders leaving Canada, along with their family members who are not Canadian citizens or landed immigrants (permanent residents). This also includes permit holders as well as asylum claimants, protected persons and members of related groups staying in Canada who have been granted permanent resident status. In this case, these persons will be added to the immigration component. Asylum claimants, protected persons and members of related groups who have had their status revoked will be counted as an outflow."
15,"Data for Northwest Territories and Nunavut are presented separately from July 1991."
16,"Prior to July 1991, only data for Northwest Territories and Nunavut combined are available."



"How to cite: Statistics Canada. Table 17-10-0040-01  Estimates of the components of international migration, quarterly"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710004001