"Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly c 1 2 3"
,,"Q2 2023","9,687","2,678","7,009","500","176","6,333"
,,"Q3 2023","11,870","2,739","9,131","453","196","8,482"
,,"Q4 2023","10,398","1,944","8,454","449","176","7,829"
,,"Q1 2024","8,300","1,349","6,951","431","136","6,384"
,,"Q2 2024","14,911","2,409","12,502","545","293","11,664"
,,"Q3 2024","9,688","1,250","8,438","372","124","7,942"
,,"Q4 2024","15,814","3,550","12,264","652","288","11,324"
,,"Q1 2025","10,588","850","9,738","434","324","8,980"
,,"Q2 2025","17,843","2,876","14,967","785","480","13,702"
,,"Q3 2025","14,548","3,409","11,139","546","389","10,204"
"Ontario",,"Q1 2010","11,255","5,470","5,785","506","1,929","3,350"
,,"Q2 2010","17,082","8,065","9,017","852","2,712","5,453"
,,"Q3 2010","16,598","7,571","9,027","833","3,045","5,149"
,,"Q4 2010","15,498","6,983","8,515","815","2,569","5,131"
,,"Q1 2011","12,629","4,250","8,379","606","1,391","6,382"
,,"Q2 2011","18,457","7,194","11,263","867","2,400","7,996"
,,"Q3 2011","18,885","7,774","11,111","759","2,434","7,918"
,,"Q4 2011","17,850","7,666","10,184","910","3,063","6,211"
,,"Q1 2012","16,281","4,212","12,069","776","2,627","8,666"
,,"Q2 2012","21,389","7,211","14,178","770","2,637","10,771"
,,"Q3 2012","20,800","7,216","13,584","920","3,097","9,567"
,,"Q4 2012","18,272","6,928","11,344","931","2,216","8,197"
,,"Q1 2013","11,192","3,593","7,599","572","1,617","5,410"
,,"Q2 2013","15,767","6,699","9,068","946","2,531","5,591"
,,"Q3 2013","17,532","6,705","10,827","844","2,850","7,133"
,,"Q4 2013","16,594","6,273","10,321","754","2,429","7,138"
,,"Q1 2014","10,828","3,106","7,722","359","1,604","5,759"
,,"Q2 2014","17,039","6,801","10,238","898","3,103","6,237"
,,"Q3 2014","15,989","7,334","8,655","854","2,602","5,199"
,,"Q4 2014","15,278","6,450","8,828","631","2,666","5,531"
,,"Q1 2015","11,382","2,567","8,815","310","1,044","7,461"
,,"Q2 2015","18,479","7,052","11,427","522","3,534","7,371"
,,"Q3 2015","21,259","7,738","13,521","636","2,621","10,264"
,,"Q4 2015","19,036","7,596","11,440","622","3,240","7,578"
,,"Q1 2016","14,789","4,389","10,400","318","1,816","8,266"
,,"Q2 2016","20,200","8,132","12,068","765","3,001","8,302"
,,"Q3 2016","20,151","8,704","11,447","743","3,372","7,332"
,,"Q4 2016","19,812","8,854","10,958","549","3,487","6,922"
,,"Q1 2017","17,555","5,516","12,039","529","3,021","8,489"
,,"Q2 2017","18,423","7,957","10,466","733","3,426","6,307"
,,"Q3 2017","23,248","8,792","14,456","959","4,746","8,751"
,,"Q4 2017","19,897","7,448","12,449","767","4,235","7,447"
,,"Q1 2018","18,143","4,530","13,613","568","1,721","11,324"
,,"Q2 2018","20,052","6,779","13,273","598","3,168","9,507"
,,"Q3 2018","18,822","6,521","12,301","741","3,000","8,560"
,,"Q4 2018","21,725","5,956","15,769","577","3,930","11,262"
,,"Q1 2019","13,044","2,786","10,258","266","2,414","7,578"
,,"Q2 2019","17,455","5,108","12,347","454","3,586","8,307"
,,"Q3 2019","21,265","6,129","15,136","557","4,058","10,521"
,,"Q4 2019","17,221","5,264","11,957","538","3,527","7,892"
,,"Q1 2020","14,594","3,614","10,980","336","2,531","8,113"
,,"Q2 2020","19,842","5,112","14,730","614","2,974","11,142"
,,"Q3 2020","25,160","6,670","18,490","706","3,747","14,037"
,,"Q4 2020","21,709","7,286","14,423","1,068","3,549","9,806"
,,"Q1 2021","21,628","6,092","15,536","579","2,736","12,221"
,,"Q2 2021","25,594","8,945","16,649","929","3,970","11,750"
,,"Q3 2021","27,765","9,350","18,415","730","4,333","13,352"
,,"Q4 2021","24,579","6,966","17,613","655","4,171","12,787"
,,"Q1 2022","17,686","4,834","12,852","558","2,661","9,633"
,,"Q2 2022","22,460","6,543","15,917","618","5,047","10,252"
,,"Q3 2022","29,746","7,739","22,007","643","5,148","16,216"
,,"Q4 2022","26,188","6,378","19,810","453","4,403","14,954"
,,"Q1 2023","18,490","4,021","14,469","377","2,670","11,422"
,,"Q2 2023","25,512","4,669","20,843","425","3,261","17,157"
,,"Q3 2023","24,813","4,634","20,179","494","4,127","15,558"
,,"Q4 2023","20,482","4,591","15,891","433","3,132","12,326"
,,"Q1 2024","18,169","2,591","15,578","321","2,012","13,245"
,,"Q2 2024","19,256","3,721","15,535","450","3,258","11,827"
,,"Q3 2024","20,614","4,740","15,874","381","3,369","12,124"
,,"Q4 2024","16,534","3,966","12,568","397","3,271","8,900"
,,"Q1 2025","11,019","1,666","9,353","150","1,986","7,217"
,,"Q2 2025","17,327","3,403","13,924","401","2,496","11,027"
,,"Q3 2025","19,748","3,328","16,420","298","2,665","13,457"
"Prairie provinces",,"Q1 2010","..","..","..","..","..",".."
,,"Q2 2010","..","..","..","..","..",".."
,,"Q3 2010","..","..","..","..","..",".."
,,"Q4 2010","..","..","..","..","..",".."
,,"Q1 2011","..","..","..","..","..",".."
,,"Q2 2011","..","..","..","..","..",".."
,,"Q3 2011","..","..","..","..","..",".."
,,"Q4 2011","..","..","..","..","..",".."
,,"Q1 2012","..","..","..","..","..",".."
,,"Q2 2012","..","..","..","..","..",".."
,,"Q3 2012","..","..","..","..","..",".."
,,"Q4 2012","..","..","..","..","..",".."
,,"Q1 2013","..","..","..","..","..",".."
,,"Q2 2013","..","..","..","..","..",".."
,,"Q3 2013","..","..","..","..","..",".."
,,"Q4 2013","..","..","..","..","..",".."
,,"Q1 2014","..","..","..","..","..",".."
,,"Q2 2014","..","..","..","..","..",".."
,,"Q3 2014","..","..","..","..","..",".."
,,"Q4 2014","..","..","..","..","..",".."
,,"Q1 2015","..","..","..","..","..",".."
,,"Q2 2015","..","..","..","..","..",".."
,,"Q3 2015","..","..","..","..","..",".."
,,"Q4 2015","..","..","..","..","..",".."
,,"Q1 2016","..","..","..","..","..",".."
,,"Q2 2016","..","..","..","..","..",".."
,,"Q3 2016","..","..","..","..","..",".."
,,"Q4 2016","..","..","..","..","..",".."
,,"Q1 2017","..","..","..","..","..",".."
,,"Q2 2017","..","..","..","..","..",".."
,,"Q3 2017","..","..","..","..","..",".."
,,"Q4 2017","..","..","..","..","..",".."
,,"Q1 2018","..","..","..","..","..",".."
,,"Q2 2018","..","..","..","..","..",".."
,,"Q3 2018","..","..","..","..","..",".."
,,"Q4 2018","..","..","..","..","..",".."
,,"Q1 2019","..","..","..","..","..",".."
,,"Q2 2019","..","..","..","..","..",".."
,,"Q3 2019","..","..","..","..","..",".."
,,"Q4 2019","..","..","..","..","..",".."
,,"Q1 2020","..","..","..","..","..",".."
,,"Q2 2020","..","..","..","..","..",".."
,,"Q3 2020","..","..","..","..","..",".."
,,"Q4 2020","..","..","..","..","..",".."
,,"Q1 2021","..","..","..","..","..",".."
,,"Q2 2021","..","..","..","..","..",".."
,,"Q3 2021","..","..","..","..","..",".."
,,"Q4 2021","..","..","..","..","..",".."
,,"Q1 2022","..","..","..","..","..",".."
,,"Q2 2022","..","..","..","..","..",".."
,,"Q3 2022","..","..","..","..","..",".."
,,"Q4 2022","..","..","..","..","..",".."
,,"Q1 2023","..","..","..","..","..",".."
,,"Q2 2023","..","..","..","..","..",".."
,,"Q3 2023","..","..","..","..","..",".."
,,"Q4 2023","..","..","..","..","..",".."
,,"Q1 2024","..","..","..","..","..",".."
,,"Q2 2024","..","..","..","..","..",".."
,,"Q3 2024","..","..","..","..","..",".."
,,"Q4 2024","..","..","..","..","..",".."
,,"Q1 2025","..","..","..","..","..",".."
,,"Q2 2025","..","..","..","..","..",".."
,,"Q3 2025","..","..","..","..","..",".."
"Manitoba",,"Q1 2010","860","523","337","24","48","265"
,,"Q2 2010","1,701","1,329","372","46","95","231"
,,"Q3 2010","1,987","1,267","720","62","92","566"
,,"Q4 2010","1,340","857","483","49","152","282"
,,"Q1 2011","732","497","235","31","72","132"
,,"Q2 2011","1,673","1,047","626","97","114","415"
,,"Q3 2011","1,913","1,289","624","69","254","301"
,,"Q4 2011","1,765","998","767","46","232","489"
,,"Q1 2012","1,156","593","563","68","91","404"
,,"Q2 2012","2,163","1,236","927","95","153","679"
,,"Q3 2012","2,366","1,351","1,015","96","104","815"
,,"Q4 2012","1,557","989","568","87","190","291"
,,"Q1 2013","1,297","555","742","38","57","647"
,,"Q2 2013","1,981","1,115","866","111","197","558"
,,"Q3 2013","2,358","1,173","1,185","125","248","812"
,,"Q4 2013","1,829","977","852","74","271","507"
,,"Q1 2014","676","436","240","44","67","129"
,,"Q2 2014","1,907","917","990","76","229","685"
,,"Q3 2014","2,370","1,070","1,300","88","220","992"
,,"Q4 2014","1,267","726","541","86","136","319"
,,"Q1 2015","967","412","555","56","97","402"
,,"Q2 2015","1,348","640","708","61","196","451"
,,"Q3 2015","1,981","697","1,284","119","159","1,006"
,,"Q4 2015","1,205","576","629","146","111","372"
,,"Q1 2016","864","408","456","70","51","335"
,,"Q2 2016","1,430","744","686","72","193","421"
,,"Q3 2016","1,645","785","860","77","169","614"
,,"Q4 2016","1,379","767","612","75","70","467"
,,"Q1 2017","2,012","712","1,300","86","220","994"
,,"Q2 2017","2,065","941","1,124","119","195","810"
,,"Q3 2017","1,727","962","765","182","115","468"
,,"Q4 2017","1,697","774","923","188","352","383"
,,"Q1 2018","1,228","521","707","56","200","451"
,,"Q2 2018","1,698","873","825","81","171","573"
,,"Q3 2018","2,567","926","1,641","100","310","1,231"
,,"Q4 2018","1,883","646","1,237","99","212","926"
,,"Q1 2019","1,336","497","839","111","117","611"
,,"Q2 2019","2,247","751","1,496","98","89","1,309"
,,"Q3 2019","1,716","793","923","110","216","597"
,,"Q4 2019","1,647","699","948","127","227","594"
,,"Q1 2020","1,307","524","783","55","100","628"
,,"Q2 2020","1,757","632","1,125","100","195","830"
,,"Q3 2020","1,654","784","870","151","237","482"
,,"Q4 2020","2,596","818","1,778","109","354","1,315"
,,"Q1 2021","1,673","629","1,044","65","94","885"
,,"Q2 2021","2,296","1,111","1,185","150","191","844"
,,"Q3 2021","2,260","1,030","1,230","152","186","892"
,,"Q4 2021","1,794","827","967","140","213","614"
,,"Q1 2022","1,942","489","1,453","58","184","1,211"
,,"Q2 2022","2,050","861","1,189","215","151","823"
,,"Q3 2022","1,768","981","787","110","234","443"
,,"Q4 2022","2,335","697","1,638","155","238","1,245"
,,"Q1 2023","1,743","427","1,316","96","77","1,143"
,,"Q2 2023","1,692","550","1,142","177","129","836"
,,"Q3 2023","1,997","625","1,372","177","253","942"
,,"Q4 2023","1,672","606","1,066","127","261","678"
,,"Q1 2024","1,130","408","722","101","121","500"
,,"Q2 2024","1,977","549","1,428","124","213","1,091"
,,"Q3 2024","2,137","691","1,446","124","374","948"
,,"Q4 2024","1,947","547","1,400","145","251","1,004"
,,"Q1 2025","1,410","497","913","81","81","751"
,,"Q2 2025","1,823","768","1,055","99","151","805"
,,"Q3 2025","2,529","815","1,714","166","183","1,365"
"Saskatchewan",,"Q1 2010","786","543","243","16","37","190"
,,"Q2 2010","1,474","1,207","267","59","118","90"
,,"Q3 2010","1,800","1,185","615","87","188","340"
,,"Q4 2010","1,847","895","952","64","142","746"
,,"Q1 2011","1,156","564","592","48","119","425"
,,"Q2 2011","1,921","1,300","621","57","295","269"
,,"Q3 2011","2,153","1,324","829","72","287","470"
,,"Q4 2011","1,801","964","837","66","177","594"
,,"Q1 2012","1,601","766","835","86","157","592"
,,"Q2 2012","2,766","1,715","1,051","139","180","732"
,,"Q3 2012","2,944","1,580","1,364","226","305","833"
,,"Q4 2012","2,657","1,110","1,547","233","171","1,143"
,,"Q1 2013","1,249","590","659","66","104","489"
,,"Q2 2013","2,157","1,219","938","73","256","609"
,,"Q3 2013","3,014","1,380","1,634","187","466","981"
,,"Q4 2013","1,870","995","875","120","185","570"
,,"Q1 2014","1,303","507","796","103","167","526"
,,"Q2 2014","2,482","1,302","1,180","150","232","798"
,,"Q3 2014","2,614","1,128","1,486","142","192","1,152"
,,"Q4 2014","1,858","870","988","107","290","591"
,,"Q1 2015","952","329","623","64","30","529"
,,"Q2 2015","1,573","779","794","63","233","498"
,,"Q3 2015","1,261","718","543","30","158","355"
,,"Q4 2015","1,363","588","775","79","155","541"
,,"Q1 2016","743","423","320","55","47","218"
,,"Q2 2016","1,251","737","514","71","112","331"
,,"Q3 2016","1,622","891","731","93","208","430"
,,"Q4 2016","1,159","717","442","109","147","186"
,,"Q1 2017","802","423","379","124","86","169"
,,"Q2 2017","1,352","823","529","68","146","315"
,,"Q3 2017","1,553","850","703","103","186","414"
,,"Q4 2017","1,197","533","664","73","154","437"
,,"Q1 2018","761","259","502","26","78","398"
,,"Q2 2018","840","437","403","58","103","242"
,,"Q3 2018","1,045","623","422","75","83","264"
,,"Q4 2018","964","459","505","40","78","387"
,,"Q1 2019","345","192","153","19","67","67"
,,"Q2 2019","614","349","265","59","60","146"
,,"Q3 2019","797","382","415","40","57","318"
,,"Q4 2019","671","374","297","19","88","190"
,,"Q1 2020","502","197","305","15","84","206"
,,"Q2 2020","606","289","317","46","32","239"
,,"Q3 2020","1,179","474","705","34","163","508"
,,"Q4 2020","800","448","352","75","117","160"
,,"Q1 2021","1,002","295","707","47","61","599"
,,"Q2 2021","1,233","592","641","61","209","371"
,,"Q3 2021","1,028","463","565","47","144","374"
,,"Q4 2021","909","445","464","81","160","223"
,,"Q1 2022","555","288","267","20","73","174"
,,"Q2 2022","1,589","568","1,021","50","195","776"
,,"Q3 2022","1,114","537","577","72","108","397"
,,"Q4 2022","953","347","606","18","83","505"
,,"Q1 2023","845","151","694","12","46","636"
,,"Q2 2023","1,084","398","686","66","100","520"
,,"Q3 2023","1,339","455","884","61","73","750"
,,"Q4 2023","1,351","434","917","56","42","819"
,,"Q1 2024","704","197","507","51","94","362"
,,"Q2 2024","932","374","558","56","92","410"
,,"Q3 2024","1,499","473","1,026","50","167","809"
,,"Q4 2024","1,184","492","692","59","151","482"
,,"Q1 2025","1,316","326","990","60","332","598"
,,"Q2 2025","1,592","580","1,012","80","126","806"
,,"Q3 2025","1,713","633","1,080","66","114","900"
"Alberta",,"Q1 2010","5,651","3,976","1,675","749","436","490"
,,"Q2 2010","8,238","5,580","2,658","743","824","1,091"
,,"Q3 2010","7,437","4,639","2,798","683","565","1,550"
,,"Q4 2010","5,762","3,656","2,106","562","771","773"
,,"Q1 2011","4,211","2,462","1,749","466","485","798"
,,"Q2 2011","6,281","4,190","2,091","778","641","672"
,,"Q3 2011","7,589","4,621","2,968","769","623","1,576"
,,"Q4 2011","7,623","3,920","3,703","798","724","2,181"
,,"Q1 2012","6,484","3,113","3,371","713","651","2,007"
,,"Q2 2012","9,436","4,855","4,581","992","1,030","2,559"
,,"Q3 2012","8,952","5,176","3,776","1,151","961","1,664"
,,"Q4 2012","8,524","4,349","4,175","1,030","673","2,472"
,,"Q1 2013","6,989","3,549","3,440","954","800","1,686"
,,"Q2 2013","10,435","5,108","5,327","1,019","1,098","3,210"
,,"Q3 2013","8,868","5,255","3,613","1,072","955","1,586"
,,"Q4 2013","9,719","4,519","5,200","952","1,139","3,109"
,,"Q1 2014","8,152","3,691","4,461","984","765","2,712"
,,"Q2 2014","11,231","5,050","6,181","1,325","1,382","3,474"
,,"Q3 2014","11,692","5,927","5,765","1,174","1,293","3,298"
,,"Q4 2014","9,515","4,895","4,620","1,297","1,161","2,162"
,,"Q1 2015","10,183","3,524","6,659","918","1,251","4,490"
,,"Q2 2015","9,302","3,917","5,385","1,181","1,129","3,075"
,,"Q3 2015","9,403","3,815","5,588","1,009","1,257","3,322"
,,"Q4 2015","8,394","3,301","5,093","845","1,022","3,226"
,,"Q1 2016","4,925","2,253","2,672","651","703","1,318"
,,"Q2 2016","6,410","2,752","3,658","838","799","2,021"
,,"Q3 2016","6,611","3,253","3,358","836","781","1,741"
,,"Q4 2016","6,587","3,163","3,424","947","631","1,846"
,,"Q1 2017","5,800","2,476","3,324","729","662","1,933"
,,"Q2 2017","8,157","3,841","4,316","947","1,149","2,220"
,,"Q3 2017","8,018","4,175","3,843","1,101","1,045","1,697"
,,"Q4 2017","7,482","3,459","4,023","877","964","2,182"
,,"Q1 2018","5,476","2,544","2,932","691","1,037","1,204"
,,"Q2 2018","7,693","3,332","4,361","960","671","2,730"
,,"Q3 2018","7,644","3,286","4,358","832","983","2,543"
,,"Q4 2018","5,272","2,502","2,770","655","975","1,140"
,,"Q1 2019","4,593","1,809","2,784","436","916","1,432"
,,"Q2 2019","6,908","2,775","4,133","790","1,008","2,335"
,,"Q3 2019","8,212","3,049","5,163","780","776","3,607"
,,"Q4 2019","7,612","2,881","4,731","781","966","2,984"
,,"Q1 2020","5,200","2,232","2,968","622","822","1,524"
,,"Q2 2020","4,955","2,086","2,869","546","521","1,802"
,,"Q3 2020","6,180","2,497","3,683","608","820","2,255"
,,"Q4 2020","7,688","2,955","4,733","776","775","3,182"
,,"Q1 2021","6,073","2,706","3,367","638","827","1,902"
,,"Q2 2021","8,677","4,147","4,530","1,005","1,002","2,523"
,,"Q3 2021","7,839","3,980","3,859","680","960","2,219"
,,"Q4 2021","9,346","3,661","5,685","696","1,060","3,929"
,,"Q1 2022","6,392","2,714","3,678","564","797","2,317"
,,"Q2 2022","11,115","4,637","6,478","839","1,331","4,308"
,,"Q3 2022","10,134","4,410","5,724","792","1,217","3,715"
,,"Q4 2022","8,903","3,030","5,873","664","1,209","4,000"
,,"Q1 2023","6,265","2,094","4,171","532","1,036","2,603"
,,"Q2 2023","8,000","3,208","4,792","758","1,425","2,609"
,,"Q3 2023","11,014","3,547","7,467","801","1,469","5,197"
,,"Q4 2023","10,743","4,010","6,733","839","1,735","4,159"
,,"Q1 2024","9,940","2,891","7,049","801","1,323","4,925"
,,"Q2 2024","11,879","4,218","7,661","1,000","1,683","4,978"
,,"Q3 2024","12,621","4,657","7,964","1,040","1,690","5,234"
,,"Q4 2024","13,387","4,639","8,748","957","2,107","5,684"
,,"Q1 2025","11,708","3,442","8,266","875","1,582","5,809"
,,"Q2 2025","17,000","4,936","12,064","1,204","2,328","8,532"
,,"Q3 2025","13,230","4,346","8,884","1,123","1,755","6,006"
"British Columbia",,"Q1 2010","5,824","2,518","3,306","340","593","2,373"
,,"Q2 2010","7,052","3,608","3,444","394","811","2,239"
,,"Q3 2010","7,259","3,101","4,158","428","1,056","2,674"
,,"Q4 2010","6,344","2,235","4,109","292","1,025","2,792"
,,"Q1 2011","5,411","1,414","3,997","209","746","3,042"
,,"Q2 2011","6,818","2,522","4,296","314","1,029","2,953"
,,"Q3 2011","7,551","2,776","4,775","312","961","3,502"
,,"Q4 2011","6,620","2,155","4,465","247","911","3,307"
,,"Q1 2012","6,150","1,538","4,612","203","792","3,617"
,,"Q2 2012","7,619","2,327","5,292","309","954","4,029"
,,"Q3 2012","7,632","2,516","5,116","295","716","4,105"
,,"Q4 2012","6,064","1,952","4,112","271","739","3,102"
,,"Q1 2013","5,269","1,546","3,723","214","683","2,826"
,,"Q2 2013","6,644","2,129","4,515","278","751","3,486"
,,"Q3 2013","7,993","2,564","5,429","275","815","4,339"
,,"Q4 2013","7,148","2,283","4,865","306","854","3,705"
,,"Q1 2014","5,730","1,647","4,083","232","700","3,151"
,,"Q2 2014","7,276","2,534","4,742","341","874","3,527"
,,"Q3 2014","8,252","2,797","5,455","439","943","4,073"
,,"Q4 2014","7,098","2,591","4,507","397","1,034","3,076"
,,"Q1 2015","6,382","1,938","4,444","318","774","3,352"
,,"Q2 2015","8,506","2,783","5,723","329","859","4,535"
,,"Q3 2015","8,265","2,883","5,382","277","1,052","4,053"
,,"Q4 2015","8,293","2,548","5,745","278","1,066","4,401"
,,"Q1 2016","10,016","2,658","7,358","263","990","6,105"
,,"Q2 2016","11,277","3,085","8,192","329","1,239","6,624"
,,"Q3 2016","10,904","3,557","7,347","356","1,257","5,734"
,,"Q4 2016","9,646","2,978","6,668","243","1,147","5,278"
,,"Q1 2017","8,058","2,100","5,958","164","862","4,932"
,,"Q2 2017","11,568","3,522","8,046","258","1,280","6,508"
,,"Q3 2017","11,039","3,478","7,561","327","1,297","5,937"
,,"Q4 2017","12,999","3,246","9,753","400","1,451","7,902"
,,"Q1 2018","9,754","2,225","7,529","229","1,063","6,237"
,,"Q2 2018","10,454","3,111","7,343","309","879","6,155"
,,"Q3 2018","10,240","3,007","7,233","264","1,104","5,865"
,,"Q4 2018","10,409","2,820","7,589","318","1,240","6,031"
,,"Q1 2019","8,943","1,598","7,345","239","947","6,159"
,,"Q2 2019","14,522","2,759","11,763","286","1,155","10,322"
,,"Q3 2019","11,021","2,429","8,592","355","1,214","7,023"
,,"Q4 2019","10,446","2,006","8,440","256","1,174","7,010"
,,"Q1 2020","7,918","1,704","6,214","297","964","4,953"
,,"Q2 2020","9,354","2,186","7,168","311","998","5,859"
,,"Q3 2020","9,942","2,355","7,587","291","1,119","6,177"
,,"Q4 2020","10,520","2,274","8,246","289","1,198","6,759"
,,"Q1 2021","11,897","2,216","9,681","331","1,342","8,008"
,,"Q2 2021","13,427","3,199","10,228","434","1,292","8,502"
,,"Q3 2021","11,439","3,000","8,439","337","1,291","6,811"
,,"Q4 2021","10,844","2,610","8,234","343","1,149","6,742"
,,"Q1 2022","8,082","1,993","6,089","379","846","4,864"
,,"Q2 2022","13,178","2,939","10,239","600","1,220","8,419"
,,"Q3 2022","12,877","2,748","10,129","438","1,486","8,205"
,,"Q4 2022","12,584","2,226","10,358","352","839","9,167"
,,"Q1 2023","11,141","1,343","9,798","396","1,055","8,347"
,,"Q2 2023","14,307","2,198","12,109","531","863","10,715"
,,"Q3 2023","11,514","1,859","9,655","370","632","8,653"
,,"Q4 2023","13,528","1,565","11,963","280","1,158","10,525"
,,"Q1 2024","11,051","1,026","10,025","297","666","9,062"
,,"Q2 2024","12,090","1,584","10,506","388","750","9,368"
,,"Q3 2024","10,839","1,574","9,265","379","906","7,980"
,,"Q4 2024","11,848","1,366","10,482","363","792","9,327"
,,"Q1 2025","7,856","973","6,883","320","649","5,914"
,,"Q2 2025","13,705","1,462","12,243","542","1,133","10,568"
,,"Q3 2025","12,138","1,501","10,637","582","917","9,138"

Symbol legend:
.., not available for a specific reference period


"Table Corrections:"
Date,Note
"","Time series groups from CMHC's Starts and Completions Survey and Market Absorption Survey were temporarily removed due to a data error which impacted September 2023 and Q3 2023 series values. Impacted series have been corrected and reissued."



Footnotes:
1,"Geographical areas modified every 5 years to reflect most recent census definitions, therefore, data are not strictly comparable historically."
2,"These data are obtained from Canada Mortgage and Housing Corporation (CMHC) and are provided subject to <a href="https://www.cmhc-schl.gc.ca/about-us/terms-conditions/hmip-terms-conditions" rel="external noopener noreferrer" target="_blank">CMHC Licence Agreement for the Use of Data (opens new window)</a>."
3,"For additional information and definitions, refer to <a href="https://www.cmhc-schl.gc.ca/professionals/housing-markets-data-and-research/housing-research/surveys/methods/methodology-rental-market-survey" rel="external noopener noreferrer" target="_blank">CMHC Rental Market Survey Methodology and Definitions (opens new window)</a>."



"How to cite: Statistics Canada. Table 34-10-0135-01  Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410013501